"House","Serial number","Name","Date (Europe/Paris)","Value (Wh)"
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 12:30:00",97
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 13:00:00",65
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 13:30:00",125
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 14:00:00",97
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 14:30:00",111
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 15:00:00",129
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 15:30:00",113
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 16:00:00",89
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 16:30:00",88
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 17:00:00",77
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 17:30:00",46
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 18:00:00",35
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 18:30:00",27
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 19:00:00",27
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 19:30:00",16
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 20:00:00",8
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 20:30:00",7
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 21:00:00",4
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 21:30:00",1
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 22:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 22:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 23:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 23:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 00:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 00:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 01:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 01:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 02:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 02:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 03:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 03:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 04:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 04:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 05:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 05:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 06:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 06:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 07:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 07:30:00",3
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 08:00:00",6
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 08:30:00",8
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 09:00:00",9
